item_id,item,title,year,genres,tags,item weight,prototype
837,911,Charade (1963),1963,Comedy|Mystery|Romance|Thriller,chase|clever|complicated plot|criterion|excellent script|great ending|hitchcock|imdb top 250|light|murder|murder mystery|mystery|paris|plot twist|romance|romantic|stylish|surprise ending|suspense|suspenseful|tense|thriller|treasure hunt|twists & turns|witty,1.9595003,3
953,3548,Auntie Mame (1958),1958,Comedy|Drama,adapted from:book|classic|eccentricity|oscar (best actress)|quotable,1.9583156,3
421,916,Roman Holiday (1953),1953,Comedy|Romance,afi 100|beautiful scenery|bittersweet|black and white|classic|destiny|excellent script|happy ending|imdb top 250|love story|oscar (best actress)|oscar (best directing)|oscar (best picture)|romance|romantic|romantic comedy|rome|runaway|sweet,1.9560827,3
485,3675,White Christmas (1954),1954,Musical,christmas|classic|dance|dancing|family|feel-good|good music|holiday|musical,1.9552705,3
1070,2478,Three Amigos! (1986),1986,Comedy|Western,chase|comedy|funniest movies|funny|goofy|hilarious|humorous|quotable|saturday night live|silly|silly fun|slapstick|spoof,1.998971,4
357,2133,Adventures in Babysitting (1987),1987,Adventure|Comedy,1980s|80s|adventure|chase|fun movie|kids|silly fun|teen|teen movie,1.9975946,4
458,3087,Scrooged (1988),1988,Comedy,christmas|comedy|future|ghosts|holiday|sarcasm,1.9824467,4
1957,2378,Police Academy (1984),1984,Comedy,80s|comedy|crime|franchise|fun movie|funny|goofy|police|sequels|series|silly|silly fun|very funny,1.9695158,4
1193,2134,Weird Science (1985),1985,Comedy,1980s|80s|adolescence|bullying|comedy|cool|cult classic|fun movie|funny|geek|geeks|goofy|high school|nerds|pg-13|robert downey jr|teen|teen movie|teenager|teenagers|teens,1.9646428,4
370,2717,Ghostbusters II (1989),1989,Comedy|Horror,ghosts|good|good sequel|new york city|original|sequel|sequels|supernatural,1.954391,4
712,3397,"Great Muppet Caper, The (1981)",1981,Children's|Comedy,franchise|holiday|light|muppets|musical|original|puppets,1.9457309,4
454,2423,Christmas Vacation (1989),1989,Comedy,chase|christmas|classic|comedy|family|franchise|funny|hilarious|holiday|silly fun,1.935949,4
1460,2124,"Addams Family, The (1991)",1991,Comedy,based on a tv show|dysfunctional family|goth|gothic|macabre|original|series,1.9333014,4
981,1297,Real Genius (1985),1985,Comedy,1980s|80s|college|comedy|cult classic|fun movie|geeks|genius|good soundtrack|mentor|nerds|quotable|teen|teen movie,1.9286907,4
1044,2118,"Dead Zone, The (1983)",1983,Horror|Thriller,adaptation|adapted from:book|based on a book|based on book|great movie|horror|original|supernatural|suspense|suspenseful|thriller,1.9994402,5
1463,1298,Pink Floyd - The Wall (1982),1982,Drama|Musical|War,artistic|childhood|cult classic|cult film|dark|disturbing|drug abuse|drugs|fascism|good music|good soundtrack|great music|hallucinatory|insanity|loneliness|masterpiece|music|original|psychedelic|psychological|rebellion|rock and roll|sexualized violence|social commentary|storytelling|surreal|surrealism|visual|visually appealing|visually stunning|weird,1.9975848,5
1541,3706,Angel Heart (1987),1987,Film-Noir|Mystery|Thriller,amazing cinematography|atmospheric|cinematography|creepy|cult film|dark|detective|devil|enigmatic|film noir|great ending|investigation|mystery|noir|noir thriller|ominous|original|private detective|psychological|secrets|sexualized violence|storytelling|stylish|supernatural|suspense|twist|twist ending|twists & turns|visual|voodoo|weird,1.9880936,5
747,1321,"American Werewolf in London, An (1981)",1981,Horror,classic|comedy|cult classic|dark humor|effects|horror|humorous|original|scary|special effects|suspense|tense|werewolf|werewolves,1.9729512,5
1318,1345,Carrie (1976),1976,Horror,adapted from:book|based on a book|bullying|classic|creepy|disturbing|frightening|good soundtrack|high school|horror|masterpiece|original|scary|social commentary|splatter|suspense|suspenseful|teen|teen movie|tense|visceral,1.9709749,5
760,1350,"Omen, The (1976)",1976,Horror,biblical|classic|creepy|demons|devil|frightening|gory|great ending|horror|ominous|original|psychological|scary|supernatural|suspense|suspenseful|tense,1.9571521,5
767,1982,Halloween (1978),1978,Horror,classic|creepy|franchise|frightening|halloween|horror|murder|ominous|original|scary|serial killer|slasher|suspense|suspenseful|teens|tense,1.9495676,5
1904,3760,"Kentucky Fried Movie, The (1977)",1977,Comedy,comedy|funniest movies|hilarious|humor|parody|spoof,1.93716,5
1243,1347,"Nightmare on Elm Street, A (1984)",1984,Horror,classic|creepy|cult classic|dreams|franchise|frightening|gory|horror|murder|original|scary|serial killer|slasher|special effects|suspense|teens|tense,1.9366522,5
2120,1194,Up in Smoke (1978),1978,Comedy,coen bros|comedy|drugs|funniest movies|funny|funny as hell|goofy|hilarious|marijuana|silly fun|stoner movie|very funny|weed,1.9332509,5
408,2746,Little Shop of Horrors (1986),1986,Comedy|Horror|Musical,broadway|cult classic|dark humor|good music|great music|music|musical|original,1.993488,6
1313,661,James and the Giant Peach (1996),1996,Animation|Children's|Musical,adapted from:book|animated|animation|based on a book|based on book|books|fantasy|good soundtrack|original|stop motion|stop-motion,1.9878945,6
334,1223,"Grand Day Out, A (1992)",1992,Animation|Comedy,aardman|aardman studios|adventure|animation|british|british comedy|claymation|clever|great|hilarious|holiday|imagination|original|short|stop motion|stop-motion|too short,1.9687169,6
379,2657,"Rocky Horror Picture Show, The (1975)",1975,Comedy|Horror|Musical|Sci-Fi,cross dressing|cult|cult classic|cult film|good soundtrack|great music|music|musical|rock and roll|transgender|weird,1.9364012,6
697,2139,"Secret of NIMH, The (1982)",1982,Animation|Children's,adapted from:book|animals|animated|animation|based on a book|based on book|fantasy|good versus evil|original|rats|talking animals,1.9337397,6
193,551,"Nightmare Before Christmas, The (1993)",1993,Children's|Comedy|Musical,animated|animation|christmas|creepy|cult film|dark|dark fantasy|fantasy world|good music|goth|halloween|holiday|imagination|melancholic|music|musical|original|special|stop motion|stop-motion|storytelling|surreal|visual|visually appealing|visually stunning|weird,1.9214962,6
447,1032,Alice in Wonderland (1951),1951,Animation|Children's|Musical,adapted from:book|animated|animation|based on a book|based on book|cartoon|classic|disney|disney animated feature|fairy tale|original|rabbits|sweet|talking animals,1.9169749,6
361,2137,Charlotte's Web (1973),1973,Animation|Children's,adapted from:book|animals|animated|animation|based on a book|based on book|cartoon|childhood|children|classic|disney|family|friendship|original|pigs|spiders|story|sweet|talking animals|unlikely friendships,1.9037218,6
711,3396,"Muppet Movie, The (1979)",1979,Children's|Comedy,childhood|franchise|kids|light|muppets|original|puppets|road movie|road trip,1.8930931,6
373,2140,"Dark Crystal, The (1982)",1982,Children's|Fantasy|Sci-Fi,alone in the world|alternate universe|dark|dark fantasy|fairy tale|fairy tales|fantasy|fantasy world|good versus evil|imagination|innocence lost|magic|modern fantasy|muppets|mythology|original|puppets|storytelling|visual|visually appealing|visually stunning|weird|wizards,1.8880588,6
773,3744,Shaft (2000),2000,Action|Crime,action|blaxploitation|cool|good action|kick-butt women|original|remake|vigilante,1.9990062,7
1365,1754,Fallen (1998),1998,Action|Mystery|Thriller,detective|good|great ending|psychological|serial killer|supernatural|surprise ending|suspense|suspenseful|thriller|twist|twist ending|twists & turns,1.9976735,7
1196,1518,Breakdown (1997),1997,Action|Thriller,chase|conspiracy|intense|kidnapping|paranoia|suspense|suspenseful|tense|thriller|twists & turns,1.9898856,7
117,1615,"Edge, The (1997)",1997,Adventure|Thriller,adventure|alaska|chase|stranded|survival|wilderness,1.9848471,7
2267,2505,8MM (1999),1999,Thriller,brutality|dark|disturbing|pornography|sexualized violence|violence|violent,1.977703,7
1285,89,Nick of Time (1995),1995,Action|Thriller,assassination|chase|conspiracy|kidnapping|suspense|suspenseful|tense|twists & turns,1.9765003,7
1372,1769,"Replacement Killers, The (1998)",1998,Action|Thriller,action|action packed|assassin|cool|fast paced|good action|gunfight|guns|hit men|hitman|realistic action|stylish|vengeance,1.9705231,7
1829,382,Wolf (1994),1994,Drama|Horror,horror|werewolf|werewolves,1.968254,7
1845,1783,Palmetto (1998),1998,Film-Noir|Mystery|Thriller,betrayal|chase|crime|film noir|greed|kidnapping|neo-noir|noir|noir thriller|plot twist|sexy,1.9637256,7
811,1047,"Long Kiss Goodnight, The (1996)",1996,Action|Thriller,action|action packed|amnesia|assassin|assassination|assassins|chase|explosions|fast paced|good action|highly quotable|mentor|vengeance,1.9567342,7
2530,3855,"Affair of Love, An (Une Liaison Pornographique) (1999)",1999,Drama|Romance,enigmatic|erotic|hotel|intimate|loneliness|love|love story|meditative|melancholic|melancholy|paris|passionate|pornography|reflective|relationships|sex|sexual|sexuality|sexy|talky,1.99973,8
2477,1695,Artemisia (1997),1997,Drama,art|artist|artistic|biographical|biography|biopic|mentor|pornography|true story,1.9991047,8
2832,211,"Browning Version, The (1994)",1994,Drama,teacher,1.9989307,8
2215,2493,"Harmonists, The (1997)",1997,Drama,1930s|berlin|german|germany|jews|music|musicians|nazi|nazis|segregation|true story,1.9986328,8
2087,83,Once Upon a Time... When We Were Colored (1995),1995,Drama,biography|holocaust|race issues|segregation|visually appealing,1.9981256,8
2216,2711,My Life So Far (1999),1999,Drama,,1.9981108,8
2552,309,"Red Firecracker, Green Firecracker (1994)",1994,Drama,foreign,1.9980787,8
2959,1669,"Tango Lesson, The (1997)",1997,Romance,,1.9980545,8
1857,1415,"Thieves (Voleurs, Les) (1996)",1996,Crime|Drama|Romance,character study|criterion,1.997839,8
2693,3010,Rosetta (1999),1999,Drama,criterion|golden palm,1.9976916,8
2466,3339,Cross of Iron (1977),1977,War,best war films|bloody|brutal|brutality|forceful|german|germany|grim|intense|nazis|original|realistic|sacrifice|violence|violent|visceral|war|wartime|world war ii|wwii,1.9993343,9
1005,2647,House of Frankenstein (1944),1944,Horror,creepy|gothic|horror|mad scientist|monster|monsters|werewolf,1.9986973,9
2454,2651,Frankenstein Meets the Wolf Man (1943),1943,Horror,good sequel|horror|life & death|mad scientist|monster|monsters|werewolf,1.998157,9
1810,2652,"Curse of Frankenstein, The (1957)",1957,Horror,classic|creepy|cult classic|gothic|horror|macabre|mad scientist|monster|monsters|original|scary|splatter,1.9970791,9
1807,2634,"Mummy, The (1959)",1959,Horror,archaeology|classic|creepy|egypt|horror|mummy|original,1.9952805,9
1288,1337,"Body Snatcher, The (1945)",1945,Horror,atmospheric|creepy|doctors|horror|macabre|murder,1.9943225,9
1797,3024,Piranha (1978),1978,Horror|Sci-Fi,camp|cult film|horror|splatter,1.9931818,9
2456,2780,"Raven, The (1963)",1963,Comedy|Horror,comedy|creepy|cult classic|gothic|horror|macabre|scary,1.9929665,9
2566,332,Village of the Damned (1995),1995,Horror|Sci-Fi,original|remake,1.9913795,9
1801,2519,House on Haunted Hill (1958),1958,Horror,creepy|cult classic|eerie|frightening|ghosts|haunted house|horror|macabre|murder|original|scary|supernatural|suspense,1.9911025,9
288,3246,Malcolm X (1992),1992,Drama,assassination|biographical|biography|biopic|great movie|historical|history|interesting|islam|mentor|original|oscar (best actor)|segregation,1.998174,10
67,1834,"Spanish Prisoner, The (1997)",1997,Drama|Thriller,caper|cerebral|clever|complex|complicated|complicated plot|con artists|con men|conspiracy|dialogue|enigmatic|excellent script|great acting|great ending|heist|interesting|mystery|original|plot holes|plot twist|secrets|storytelling|stylish|suspense|suspenseful|thriller|tricky|twist|twist ending|twists & turns,1.9961956,10
820,2391,"Simple Plan, A (1998)",1998,Crime|Thriller,betrayal|character study|coen bros|corruption|crime gone awry|dark humor|downbeat|drama|excellent script|great acting|great ending|greed|interesting|loneliness|manipulation|money|morality|murder|original|oscar (best supporting actor)|plot twist|police investigation|small town|suspense|suspenseful|tense|twists & turns,1.9782438,10
306,25,Leaving Las Vegas (1995),1995,Drama|Romance,addiction|alcoholism|death|depressing|depression|downbeat|drama|drinking|good soundtrack|great acting|las vegas|loneliness|love|love story|melancholic|melancholy|original|oscar (best actress)|relationships,1.9641442,10
1472,1694,"Apostle, The (1997)",1997,Drama,character study|christianity|drama|god|great acting|jesus|redemption|religion,1.9605929,10
266,1466,Donnie Brasco (1997),1997,Crime|Drama,based on a book|based on a true story|based on book|based on true story|betrayal|brutality|character study|corruption|crime|crime gone awry|drama|friendship|gangster|gangsters|good|good soundtrack|great acting|great ending|great movie|interesting|mafia|mentor|mob|organized crime|original|true story|undercover cop|unlikely friendships|violence|violent,1.9527762,10
190,1729,Jackie Brown (1997),1997,Crime|Drama,awesome soundtrack|caper|character study|crime|crime gone awry|dark humor|dialogue|dialogue driven|gangster|gangsters|good dialogue|good soundtrack|gratuitous violence|great acting|great dialogue|great soundtrack|heist|hit men|original|pulp|quirky|stylish|talky|tarantino|violence|violent,1.9476861,10
795,678,Some Folks Call It a Sling Blade (1993),1993,Drama|Thriller,biographical|black and white|good soundtrack|great ending|imdb top 250|interesting|mentor|original|oscar (best directing)|short|too short,1.9464781,10
320,300,Quiz Show (1994),1994,Drama,based on a true story|based on true story|corruption|dramatic|excellent script|greed|manipulation|original|oscar (best supporting actor)|reality tv|true story,1.9217565,10
548,246,Hoop Dreams (1994),1994,Documentary,basketball|criterion|documentary|dreams|original|oscar (best editing)|poverty|sports,1.9181485,10
2621,705,Cosi (1996),1996,Comedy,cerebral|ensemble cast|mental illness|mozart|original|touching,1.9989027,11
933,1180,Hear My Song (1991),1991,Comedy,great|great movie|ireland|irish|irish accent,1.998446,11
1868,3132,Daddy Long Legs (1919),1919,Comedy,original|silent,1.997245,11
2407,116,Anne Frank Remembered (1995),1995,Documentary,anti-semitism|documentary|germany|holocaust|jews|narrated|nazis|world war ii,1.9962162,11
2870,2417,Heartburn (1986),1986,Comedy|Drama,marriage|relationships,1.993207,11
2395,3217,"Star Is Born, A (1937)",1937,Drama,1930s|dramatic|hollywood|oscar (best actress)|talky,1.9857044,11
1858,1684,Mrs. Dalloway (1997),1997,Romance,adapted from:book,1.9853083,11
1926,3094,Maurice (1987),1987,Drama|Romance,adapted from:book|beautifully filmed|england|gay|gay character|homosexuality|love|love story|male nudity|period piece|powerful ending,1.9800146,11
1577,3112,'Night Mother (1986),1986,Drama,,1.9798629,11
2714,2738,Crimes of the Heart (1986),1986,Comedy|Drama,family|sisters,1.9792218,11
2835,3531,All the Vermeers in New York (1990),1990,Comedy|Drama|Romance,art|art house|cinematography|good soundtrack|intimate|loneliness|relationships,1.999918,12
2885,3880,"Ballad of Ramblin' Jack, The (2000)",2000,Documentary,biography|documentary|life & death|masterpiece|melancholic|music|musicians|original|solitude|storytelling|unusual plot structure,1.9995981,12
2209,1728,"Winter Guest, The (1997)",1997,Drama,beautifully filmed|cinematography|existentialism|life & death|loneliness|reflective|solitude,1.9990925,12
2187,573,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",1993,Drama,foreign,1.9988489,12
2619,106,Nobody Loves Me (Keiner liebt mich) (1994),1994,Comedy|Drama,criterion|german|germany|oscar (best foreign language film),1.9985063,12
1514,1450,Prisoner of the Mountains (Kavkazsky Plennik) (1996),1996,War,bleak|friendship|harsh|russia|russian|unlikely friendships|wartime,1.9983875,12
2827,1657,Wonderland (1997),1997,Documentary,documentary|segregation|small town,1.9982843,12
2523,3894,Solas (1999),1999,Drama,childhood|foreign|hospital|loneliness|melancholic|oscar (best foreign language film)|relationships|spanish,1.9982418,12
3093,2964,Julien Donkey-Boy (1999),1999,Drama,art house|cerebral|dysfunctional family|independent film|weird,1.9982067,12
2923,503,"New Age, The (1994)",1994,Drama,,1.9981117,12
975,3516,"Bell, Book and Candle (1958)",1958,Comedy|Romance,fairy tale|gay character|love story|magic|romantic|romantic comedy|witch|witches,1.9991674,13
1549,2870,Barefoot in the Park (1967),1967,Comedy,based on a play|comedy|new york|new york city|original|oscar (best actress)|period piece|romantic|romantic comedy,1.9943877,13
1715,1951,Oliver! (1968),1968,Musical,adapted from:book|broadway|dance|dancing|family|good music|music|musical|oscar (best cinematography)|oscar (best directing)|oscar (best picture),1.9903773,13
978,3028,"Taming of the Shrew, The (1967)",1967,Comedy,adaptation|based on a play|dramatic|shakespeare,1.9822901,13
8,938,Gigi (1958),1958,Musical,good music|music|musical|oscar (best actress)|oscar (best cinematography)|oscar (best directing)|oscar (best picture),1.9791918,13
234,3604,Gypsy (1962),1962,Musical,based on a play|broadway|musical|strippers|visually appealing,1.9743984,13
1210,2077,"Journey of Natty Gann, The (1985)",1985,Adventure|Children's,adventure|family|kids and family|runaway,1.9743962,13
1555,1099,"Christmas Carol, A (1938)",1938,Drama,based on a book|christmas|classic|ghosts|greed|holiday,1.974166,13
1836,934,Father of the Bride (1950),1950,Comedy,comedy|family|wedding,1.9671257,13
1032,2941,South Pacific (1958),1958,Musical|Romance|War,70mm|based on a play|broadway|good music|island|music|musical|oscar (best cinematography),1.965148,13
901,3707,Nine 1/2 Weeks (1986),1986,Drama,bdsm|erotic|free to download|pornography|relationships|sex|sexual|sexuality|sexy,1.9998319,14
1844,3529,"Postman Always Rings Twice, The (1981)",1981,Crime|Thriller,based on a book|erotic|passionate|pornography|remake|sexy,1.9975319,14
904,3206,Against All Odds (1984),1984,Romance,sexy,1.9820907,14
1958,3420,...And Justice for All (1979),1979,Drama|Thriller,corruption|court|courtroom|courtroom drama|drama|dramatic|great acting|greed|justice|lawyer|lawyers|mentor|rape,1.97557,14
614,1804,"Newton Boys, The (1998)",1998,Crime|Drama,based on true story|heist,1.9631648,14
2764,2753,"Bedroom Window, The (1987)",1987,Thriller,good|hitchcock|lawyer|murder|police investigation|tense|thriller,1.9589736,14
1464,695,True Crime (1995),1995,Mystery|Thriller,detective|investigation|murder|police investigation|serial killer|sexy,1.953476,14
1766,3029,Nighthawks (1981),1981,Action|Drama,action|chase|good action|new york city|tense|terrorism|undercover cop|weapons,1.9527291,14
1029,2852,"Soldier's Story, A (1984)",1984,Drama,corruption|drama|dramatic|ensemble cast|intense|investigation|lawyer|military|murder|murder mystery|oscar (best directing)|police investigation|segregation|story,1.9457366,14
959,3102,Jagged Edge (1985),1985,Thriller,courtroom|courtroom drama|investigation|lawyer|lawyers|manipulation|murder|murder mystery|mystery|nudity (topless - brief)|police investigation|san francisco|suspense|suspenseful|tense|thriller|twist ending|twists & turns,1.945536,14
3108,3367,"Devil's Brigade, The (1968)",1968,War,action|best war films|factual|forceful|military|tense|war|wartime|world war ii|wwii,1.9997077,15
2669,3143,Hell in the Pacific (1968),1968,Drama|War,allegory|drinking|island|stranded|wartime|world war ii|wwii,1.999264,15
2789,3137,"Sea Wolves, The (1980)",1980,Action|War,007|adventure|based on a book|based on true story|german|historical|nazis|original|runaway|spies|spy|spying|true story|unusual plot structure|war|wartime|world war ii|wwii,1.998194,15
2812,964,Angel and the Badman (1947),1947,Western,chase|destiny|gunfight|runaway|violence|western,1.995041,15
2721,2896,Alvarez Kelly (1966),1966,Western,american civil war|civil war|forceful|gunfight|irish|western,1.9919236,15
3120,3767,Missing in Action 2: The Beginning (1985),1985,Action|War,action|camp|jungle|prequel|prison escape|realistic action,1.9869288,15
2295,458,Geronimo: An American Legend (1993),1993,Drama|Western,genocide|gunfight|historical|history|indians|native americans|us history,1.9863577,15
1871,1472,City of Industry (1997),1997,Crime|Thriller,betrayal|crime|gangsters|heist|revenge,1.9831576,15
986,957,"Scarlet Letter, The (1926)",1926,Drama,literary adaptation|silent|unusual plot structure,1.9716723,15
1841,1661,Switchback (1997),1997,Thriller,kidnapping|murder mystery|serial killer|suspenseful|thriller|twists & turns,1.9663482,15
2737,2894,Romance (1999),1999,Drama|Romance,controversial|erotic|male nudity|nudity (full frontal - notable)|nudity (full frontal)|pornography|sex|sexual|sexuality|sexy,1.9999367,16
1909,129,Pie in the Sky (1995),1995,Comedy|Romance,obsession,1.9997642,16
2906,3319,Judy Berlin (1999),1999,Drama,based on a comic|independent film|suburbia,1.9995837,16
2794,1549,Rough Magic (1995),1995,Drama|Romance,latin america|magic|magic realism|unusual plot structure,1.9995728,16
3097,560,"Beans of Egypt, Maine, The (1994)",1994,Drama,,1.9992282,16
2898,3562,Committed (2000),2000,Comedy|Drama,marriage|midlife crisis,1.9988977,16
2888,359,I Like It Like That (1994),1994,Comedy|Drama|Romance,,1.998347,16
2836,2773,Alice and Martin (Alice et Martin) (1998),1998,Drama,melancholic,1.9982603,16
2357,3161,Onegin (1999),1999,Drama,cinematography|costume drama|love story|passionate|visually appealing,1.9977151,16
2032,1502,Kissed (1996),1996,Romance,controversial|death|disturbing|erotic|good soundtrack|intimate|life & death|love|nudity (full frontal - notable)|nudity (full frontal)|obsession|pornography|relationships|sex|sexual|sexy|weird,1.9976618,16
1594,112,Rumble in the Bronx (1995),1995,Action|Adventure|Crime,action|fight scenes|fighting|good action|hong kong|kung fu|martial arts,1.998843,17
311,2699,Arachnophobia (1990),1990,Action|Comedy|Sci-Fi|Thriller,creepy|horror|scary|small town|spiders,1.9953206,17
646,198,Strange Days (1995),1995,Action|Crime|Sci-Fi,complex|corruption|cyberpunk|dystopia|dystopic future|future|futuristic|memory|mindfuck|original|police corruption|sci fi|sci-fi|science fiction|scifi|technology|virtual reality|visual,1.9892975,17
667,3300,Pitch Black (2000),2000,Action|Sci-Fi,alien|alien invasion|aliens|anti-hero|dark hero|first contact|futuristic|nocturnal|sci fi|sci-fi|science fiction|scifi|space|space travel|special effects|stranded|visual,1.9795194,17
589,1909,"X-Files: Fight the Future, The (1998)",1998,Mystery|Sci-Fi|Thriller,alien|aliens|antarctica|based on a tv show|chase|conspiracy|first contact|francis ford copolla|future|mythology|sci fi|sci-fi|science fiction|scifi|series|space|special effects,1.969387,17
281,741,Ghost in the Shell (Kokaku kidotai) (1995),1995,Animation|Sci-Fi,amazing cinematography|animation|anime|cerebral|complex|complicated|cyberpunk|cyborgs|dialogue|dystopic future|future|futuristic|humanity|japan|masterpiece|original|philosophical|philosophy|sci fi|sci-fi|science fiction|scifi|storytelling|stunning|technology|tokyo|violence|visual|visually appealing|visually stunning|weird,1.9621177,17
255,861,Supercop (1992),1992,Action|Thriller,action|action packed|fight scenes|fighting|good action|hong kong|kung fu|martial arts|police,1.9601672,17
423,2826,"13th Warrior, The (1999)",1999,Action|Horror|Thriller,action|adventure|based on a book|based on book|big budget|epic|fantasy world|fight scenes|good action|good versus evil|high fantasy|medieval|mythology,1.9421154,17
807,1391,Mars Attacks! (1996),1996,Action|Comedy|Sci-Fi|War,alien|alien invasion|aliens|end of the world|mars|off-beat comedy|parody|satire|satirical|sci fi|sci-fi|science fiction|scifi|special effects|spoof|stupid as hell|weapons|weird,1.9416428,17
669,3745,Titan A.E. (2000),2000,Adventure|Animation|Sci-Fi,animated|animation|cartoon|computer animation|future|sci fi|sci-fi|science fiction|scifi|space|space opera|visual|visually appealing|visually stunning,1.9374909,17
2099,3922,Bikini Beach (1964),1964,Comedy,racing,1.9995995,18
1626,3400,We're Back! A Dinosaur's Story (1993),1993,Animation|Children's,cartoon|dinosaurs|kids,1.9980515,18
2938,3775,Make Mine Music (1946),1946,Animation|Children's|Musical,animated|animation|cartoon|children|classic|disney|disney animated feature|entertaining|fairy tale|family|fun movie|kids and family|music|musical|sweet|too short,1.9974962,18
2850,3799,Pokémon the Movie 2000 (2000),2000,Animation|Children's,adventure|animation|anime|natural disaster,1.9974704,18
2772,3401,Baby... Secret of the Lost Legend (1985),1985,Adventure|Sci-Fi,children|dinosaurs|family|jungle,1.9973075,18
