field_x,value_x,field_y,value_y,n_x,n_y,n_both,decoupling_mass,norm_decoupling
department_name,Small Accessories,section_name,Men Accessories,80,80,32,96,0.75
department_name,Young Girl UW/NW,product_type_name,Kids Underwear top,16,4,4,12,0.75
department_name,EQ Ladies Denim,section_name,Divided Complements Other,3,12,3,9,0.75
product_type_name,Nipple covers,colour_group_name,Transparent,2,3,1,3,0.75
product_type_name,Socks,section_name,"Womens Nightwear, Socks & Tigh",328,476,160,484,0.7515527950310559
department_name,Other items,product_type_name,Other accessories,58,95,30,93,0.7560975609756098
department_name,Young Girl UW/NW,section_name,Girls Underwear & Basics,16,66,16,50,0.7575757575757576
department_name,Jacket Street,section_name,Mens Outerwear,13,54,13,41,0.7592592592592593
department_name,Baby basics,section_name,Baby Essentials & Complements,58,242,58,184,0.7603305785123967
department_name,Scarves,section_name,Womens Big accessories,65,272,65,207,0.7610294117647058
product_type_name,Belt,section_name,Womens Big accessories,112,272,74,236,0.7612903225806451
department_name,Limited Edition,section_name,Special Collections,5,21,5,16,0.7619047619047619
product_type_name,Necklace,colour_group_name,Gold,129,298,82,263,0.7623188405797101
department_name,Tights basic,section_name,"Womens Nightwear, Socks & Tigh",113,476,113,363,0.7626050420168067
department_name,Skirts,product_type_name,Skirt,107,456,107,349,0.7653508771929824
department_name,Kids Boy Denim,section_name,Kids Boy,18,77,18,59,0.7662337662337663
department_name,Flats,product_type_name,Sandals,58,27,16,53,0.7681159420289855
department_name,Kids Girl Knitwear,section_name,Kids Girl,16,69,16,53,0.7681159420289855
department_name,Denim Other Garments,section_name,Ladies Denim,91,394,91,303,0.7690355329949239
department_name,Shirt,section_name,Contemporary Casual,125,145,50,170,0.7727272727272727
department_name,Young Girl Denim,section_name,Young Girl,23,102,23,79,0.7745098039215687
department_name,Casual Lingerie,product_type_name,Underwear bottom,240,425,122,421,0.7753222836095764
department_name,Denim Trousers,graphical_appearance_name,Denim,234,1020,228,798,0.7777777777777778
department_name,Heels,section_name,Womens Shoes,70,324,70,254,0.7839506172839507
department_name,Small Accessories,section_name,Divided Accessories,80,191,48,175,0.7847533632286996
department_name,Baby Exclusive,section_name,Baby Essentials & Complements,52,242,52,190,0.7851239669421488
colour_group_name,Grey,graphical_appearance_name,Melange,424,843,223,821,0.7863984674329502
department_name,Outdoor/Blazers,product_type_name,Jacket,134,427,97,367,0.790948275862069
department_name,Young Girl Knitwear,section_name,Young Girl,21,102,21,81,0.7941176470588235
department_name,Hair Accessories,product_type_name,Hair string,209,55,45,174,0.7945205479452054
department_name,Jewellery Extended,product_type_name,Earring,69,201,46,178,0.7946428571428571
product_type_name,Scarf,section_name,Womens Big accessories,81,272,60,233,0.7952218430034129
department_name,Socks Wall,product_type_name,Socks,67,328,67,261,0.7957317073170732
department_name,Socks,section_name,"Womens Nightwear, Socks & Tigh",97,476,97,379,0.7962184873949579
department_name,Jewellery,colour_group_name,Silver,315,112,72,283,0.7971830985915493
department_name,Jersey fancy,section_name,Womens Everyday Collection,338,1668,338,1330,0.7973621103117506
department_name,Dresses,section_name,Divided Collection,287,1421,287,1134,0.7980295566502463
department_name,Bags & Items,product_type_name,Backpack,3,3,1,4,0.8
department_name,Bags & Items,product_type_name,Weekend/Gym bag,3,3,1,4,0.8
department_name,Woven Tops,section_name,Mama,63,318,63,255,0.8018867924528302
department_name,Kids Girl Jersey Basic,section_name,Girls Underwear & Basics,13,66,13,53,0.803030303030303
department_name,Flats,product_type_name,Flat shoe,58,15,12,49,0.8032786885245902
department_name,Casual Lingerie,product_type_name,Bra,240,446,112,462,0.8048780487804879
department_name,Jersey Fancy,section_name,Contemporary Smart,202,246,73,302,0.8053333333333333
department_name,Conscious Exclusive,section_name,Special Collections,4,21,4,17,0.8095238095238095
department_name,Other items,product_type_name,Umbrella,58,11,11,47,0.8103448275862069
department_name,Newborn,product_type_name,Garment Set,76,70,23,100,0.8130081300813008
department_name,Clean Lingerie,section_name,Womens Lingerie,147,787,147,640,0.8132147395171537
department_name,Shopbasket Socks,product_type_name,Socks,61,328,61,267,0.8140243902439024
department_name,Hair Accessories,product_type_name,Hair clip,209,42,39,173,0.8160377358490566
department_name,Trousers DS,section_name,Divided Selected,13,71,13,58,0.8169014084507042
department_name,Bottoms Girls,section_name,Kids Sports,2,11,2,9,0.8181818181818182
department_name,Trouser S&T,section_name,Men Suits & Tailoring,24,133,24,109,0.8195488721804511
department_name,Gloves/Hats,section_name,Womens Big accessories,49,272,49,223,0.8198529411764706
department_name,Nightwear,product_type_name,Pyjama bottom,83,35,18,82,0.82
department_name,Flats,section_name,Womens Shoes,58,324,58,266,0.8209876543209876
department_name,Ladies Sport Woven,product_type_name,Outdoor trousers,27,6,5,23,0.8214285714285714
department_name,Heels,product_type_name,Pumps,70,16,13,60,0.821917808219178
department_name,Shirt,section_name,Contemporary Smart,125,246,56,259,0.8222222222222222
department_name,Jersey Fancy,graphical_appearance_name,Placement print,202,200,60,282,0.8245614035087719
department_name,Gloves/Hats,product_type_name,Hat/brim,49,18,10,47,0.8245614035087719
department_name,Nightwear,section_name,"Womens Nightwear, Socks & Tigh",83,476,83,393,0.8256302521008403
department_name,Kids Girl Dresses,section_name,Kids Girl,12,69,12,57,0.8260869565217391
product_type_name,Garment Set,section_name,Baby Essentials & Complements,70,242,46,220,0.8270676691729323
department_name,Premium Quality,section_name,Womens Shoes,56,324,56,268,0.8271604938271605
section_name,Ladies Denim,colour_group_name,Blue,394,455,125,599,0.8273480662983426
department_name,Woven bottoms,section_name,Mama,132,318,66,318,0.828125
department_name,Bags,section_name,Divided Accessories,131,191,47,228,0.8290909090909091
department_name,Jersey,section_name,Mama,830,318,167,814,0.8297655453618756
product_type_name,Necklace,colour_group_name,Silver,129,112,35,171,0.8300970873786407
department_name,Heavy Basic Jersey,section_name,Men Underwear,83,489,83,406,0.8302658486707567
department_name,Outdoor/Blazers DS,section_name,Divided Selected,12,71,12,59,0.8309859154929577
department_name,Other Accessories,product_type_name,Belt,27,112,20,99,0.8319327731092437
department_name,Jersey,product_type_name,Top,830,692,218,1086,0.8328220858895705
department_name,Accessories,product_type_name,Felt hat,28,7,5,25,0.8333333333333334
product_type_name,Flat shoes,section_name,Men Shoes,4,17,3,15,0.8333333333333334
department_name,Tops Woven,product_type_name,Shirt,208,432,91,458,0.8342440801457195
department_name,Blazer S&T,section_name,Men Suits & Tailoring,22,133,22,111,0.8345864661654135
department_name,Blouse,section_name,Womens Everyday Collection,591,1668,319,1621,0.8355670103092784
department_name,Knitwear,graphical_appearance_name,Melange,540,843,195,993,0.8358585858585859
product_type_name,Underwear Tights,section_name,"Womens Nightwear, Socks & Tigh",92,476,79,410,0.8384458077709611
department_name,Baby basics,product_type_name,Bodysuit,58,86,20,104,0.8387096774193549
department_name,Jersey,section_name,Womens Casual,830,540,190,990,0.8389830508474576
department_name,Young Boy UW/NW,section_name,Boys Underwear & Basics,14,87,14,73,0.8390804597701149
department_name,Baby Toys/Acc,product_type_name,Beanie,13,16,4,21,0.84
colour_group_name,Light Blue,graphical_appearance_name,Denim,368,1020,191,1006,0.8404344193817878
section_name,"Womens Swimwear, beachwear",graphical_appearance_name,Other structure,511,312,113,597,0.8408450704225352
department_name,Trousers,section_name,Divided Collection,225,1421,225,1196,0.8416608022519353
department_name,Dresses,product_type_name,Dress,287,1604,258,1375,0.8420085731781997
department_name,Dress,section_name,Womens Everyday Collection,490,1668,291,1576,0.8441349758971612
department_name,Swimwear,graphical_appearance_name,Other structure,526,312,113,612,0.8441379310344828
product_type_name,Necklace,section_name,Womens Small accessories,129,702,112,607,0.8442280945757997
section_name,Contemporary Street,graphical_appearance_name,Placement print,142,200,46,250,0.8445945945945946
department_name,Small Accessories,product_type_name,Hair/alice band,80,121,27,147,0.8448275862068966
department_name,OL Extended Sizes,section_name,Ladies Denim,69,394,62,339,0.8453865336658354
department_name,Baby Toys/Acc,product_type_name,Accessories set,13,2,2,11,0.8461538461538461
department_name,Shoes,product_type_name,Flat shoes,11,4,2,11,0.8461538461538461
department_name,Baby basics,product_type_name,Garment Set,58,70,17,94,0.8468468468468469
department_name,Woven bottoms,section_name,H&M+,132,366,66,366,0.8472222222222222
department_name,Light Basic Jersey,product_type_name,T-shirt,188,786,129,716,0.8473372781065088
product_type_name,Trousers,section_name,Ladies Denim,1789,394,288,1607,0.8480211081794196
department_name,Sneakers,section_name,Womens Shoes,49,324,49,275,0.8487654320987654
department_name,Premium Quality,product_type_name,Boots,56,127,24,135,0.8490566037735849
department_name,Kids Girl Outdoor,section_name,Kids Outerwear,3,20,3,17,0.85
product_type_name,Dress,graphical_appearance_name,All over pattern,1604,1462,399,2268,0.8503937007874016
department_name,Tops Fancy Jersey,section_name,Divided Collection,209,1421,209,1212,0.8529204785362421
department_name,Jewellery Extended,colour_group_name,Gold,69,298,47,273,0.853125
department_name,Tops Woven,section_name,Divided Collection,208,1421,208,1213,0.8536242083040113
product_type_name,Sneakers,section_name,Womens Shoes,60,324,49,286,0.8537313432835821
department_name,Baby Boy Knitwear,section_name,Baby Boy,10,69,10,59,0.855072463768116
product_type_name,Leggings/Tights,section_name,Ladies H&M Sport,250,362,77,458,0.8560747663551402
department_name,AK Tops Jersey & Woven,section_name,Divided Asia keys,8,56,8,48,0.8571428571428571
department_name,Special Collection,section_name,Special Collections,3,21,3,18,0.8571428571428571
department_name,Shoes / Boots inactive from s5,product_type_name,Other shoe,6,10,2,12,0.8571428571428571
department_name,Take care,section_name,Collaborations,1,7,1,6,0.8571428571428571
department_name,Other Accessories,section_name,Divided Accessories,27,191,27,164,0.8586387434554974
department_name,Tops Knitwear DS,section_name,Divided Selected,10,71,10,61,0.8591549295774648
product_type_name,Sweater,graphical_appearance_name,Melange,1081,843,236,1452,0.8601895734597157
department_name,Projects Jersey & Knitwear,section_name,Divided Projects,42,301,42,259,0.8604651162790697
department_name,Men Sport Bottoms,section_name,Men H&M Sport,11,79,11,68,0.8607594936708861
department_name,Tops Knitwear,section_name,Divided Collection,196,1421,196,1225,0.8620689655172413
department_name,Jersey Fancy,section_name,Contemporary Casual,202,145,42,263,0.8622950819672132
department_name,Socks Wall,section_name,Men Underwear,67,489,67,422,0.8629856850715747
product_type_name,Socks,section_name,Men Underwear,328,489,97,623,0.8652777777777778
department_name,Underwear Jersey,product_type_name,Underwear bottom,60,425,57,371,0.866822429906542
department_name,Jersey,section_name,Womens Trend,830,423,147,959,0.8670886075949367
product_type_name,Bag,section_name,Divided Accessories,125,191,37,242,0.8673835125448028
department_name,Jersey,section_name,H&M+,830,366,140,916,0.8674242424242424
department_name,Blouse,section_name,Womens Tailoring,591,866,170,1117,0.8679098679098679
department_name,Gloves/Hats,product_type_name,Gloves,49,20,8,53,0.8688524590163934
product_type_name,Bodysuit,section_name,Baby Essentials & Complements,86,242,38,252,0.8689655172413793
department_name,Blazer S&T,product_type_name,Tailored Waistcoat,22,4,3,20,0.8695652173913043
product_type_name,Dress,section_name,Womens Everyday Collection,1604,1668,377,2518,0.8697754749568221
department_name,Knitwear,product_type_name,Cardigan,540,192,84,564,0.8703703703703703
department_name,Trouser,section_name,Womens Everyday Collection,609,1668,260,1757,0.8710956866633615
product_type_name,Swimsuit,section_name,"Womens Swimwear, beachwear",68,511,66,447,0.8713450292397661
department_name,Shopbasket Socks,section_name,"Womens Nightwear, Socks & Tigh",61,476,61,415,0.8718487394957983
department_name,Clean Lingerie,product_type_name,Bra,147,446,67,459,0.8726235741444867
department_name,Tops Knitwear,product_type_name,Sweater,196,1081,144,989,0.8729037952338923
department_name,Jersey fancy,product_type_name,Top,338,692,116,798,0.8730853391684902
department_name,Jersey Fancy DS,section_name,Divided Selected,9,71,9,62,0.8732394366197183
department_name,Men Sport Acc,section_name,Men H&M Sport,10,79,10,69,0.8734177215189873
department_name,Knit & Woven,product_type_name,Scarf,62,81,16,111,0.8740157480314961
department_name,Denim Trousers,product_type_name,Trousers,234,1789,226,1571,0.8742348358375069
department_name,Swimwear,product_type_name,Swimsuit,526,68,66,462,0.875
department_name,Newborn,product_type_name,Bodysuit,76,86,18,126,0.875
department_name,Kids Girl Shoes,section_name,Kids & Baby Shoes,2,16,2,14,0.875
department_name,Young Girl Shoes,section_name,Kids & Baby Shoes,2,16,2,14,0.875
department_name,Jewellery,product_type_name,Ring,315,47,40,282,0.8757763975155279
department_name,Jersey,product_type_name,Dress,830,1604,267,1900,0.8767881864328565
department_name,Jersey,section_name,Womens Tailoring,830,866,186,1324,0.8768211920529801
department_name,Small Accessories,colour_group_name,Silver,80,112,21,150,0.8771929824561403
department_name,Jacket Smart,product_type_name,Coat,17,47,7,50,0.8771929824561403
department_name,Young Girl UW/NW,graphical_appearance_name,Mixed solid/pattern,16,48,7,50,0.8771929824561403
department_name,Underwear Jersey,section_name,Men Underwear,60,489,60,429,0.8773006134969326
department_name,Premium Quality,product_type_name,Sandals,56,27,9,65,0.8783783783783784
department_name,Jersey Basic,product_type_name,T-shirt,365,786,122,907,0.8814382896015549
department_name,Functional Lingerie,product_type_name,Underwear body,87,36,13,97,0.8818181818181818
product_type_name,T-shirt,section_name,Men Underwear,786,489,134,1007,0.8825591586327782
product_type_name,Heeled sandals,section_name,Womens Shoes,38,324,38,286,0.8827160493827161
product_type_name,Trousers,colour_group_name,Blue,1789,455,235,1774,0.883026381284221
product_type_name,T-shirt,section_name,Womens Everyday Basics,786,371,121,915,0.8832046332046332
department_name,Trousers,product_type_name,Trousers,225,1789,210,1594,0.8835920177383592
department_name,Small Accessories,graphical_appearance_name,Metallic,80,45,13,99,0.8839285714285714
department_name,Baby Boy Outdoor,section_name,Baby Boy,8,69,8,61,0.8840579710144928
department_name,Kids Girl Denim,section_name,Kids Girl,8,69,8,61,0.8840579710144928
department_name,Expressive Lingerie,product_type_name,Underwear bottom,250,425,70,535,0.8842975206611571
department_name,Tops Knitwear,product_type_name,Cardigan,196,192,40,308,0.8850574712643678
section_name,Denim Men,graphical_appearance_name,Denim,117,1020,117,903,0.8852941176470588
product_type_name,Hat/beanie,section_name,Divided Accessories,52,191,25,193,0.8853211009174312
department_name,Tops Woven,product_type_name,Blouse,208,619,85,657,0.8854447439353099
department_name,Loungewear,product_type_name,Pyjama bottom,131,35,17,132,0.8859060402684564
product_type_name,Earring,colour_group_name,Silver,201,112,32,249,0.8861209964412812
department_name,Projects Woven Bottoms,section_name,Divided Projects,34,301,34,267,0.8870431893687708
product_type_name,Hair/alice band,section_name,Womens Small accessories,121,702,83,657,0.8878378378378379
colour_group_name,Dark Blue,graphical_appearance_name,Denim,805,1020,184,1457,0.8878732480195003
product_type_name,Ring,colour_group_name,Silver,47,112,16,127,0.8881118881118881
department_name,Baby Socks,section_name,Baby Essentials & Complements,27,242,27,215,0.8884297520661157
department_name,Shoes / Boots inactive from s5,product_type_name,Flat shoes,6,4,1,8,0.8888888888888888
department_name,Clean Lingerie,product_type_name,Underwear bottom,147,425,57,458,0.8893203883495145
department_name,Dress,section_name,Womens Tailoring,490,866,135,1086,0.8894348894348895
department_name,Functional Lingerie,section_name,Womens Lingerie,87,787,87,700,0.8894536213468869
product_type_name,Dress,colour_group_name,Black,1604,3826,540,4350,0.8895705521472392
department_name,Belts,section_name,Men Accessories,91,80,17,137,0.8896103896103896
section_name,Womens Small accessories,colour_group_name,Silver,702,112,80,654,0.8910081743869209
department_name,Denim Trousers,colour_group_name,Blue,234,455,67,555,0.8922829581993569
colour_group_name,White,graphical_appearance_name,Solid,1311,7935,899,7448,0.8922966335210255
product_type_name,Blouse,section_name,Womens Everyday Collection,619,1668,222,1843,0.8924939467312348
department_name,Nightwear,product_type_name,Night gown,83,10,9,75,0.8928571428571429
department_name,Denim trousers,graphical_appearance_name,Denim,109,1020,109,911,0.8931372549019608
department_name,Blouse,product_type_name,Shirt,591,432,98,827,0.894054054054054
section_name,Womens Everyday Collection,graphical_appearance_name,All over pattern,1668,1462,299,2532,0.8943836100317909
department_name,Shoes,product_type_name,Slippers,11,10,2,17,0.8947368421052632
product_type_name,Dress,section_name,Womens Tailoring,1604,866,235,2000,0.8948545861297539
department_name,Young Girl Jersey Fancy,graphical_appearance_name,Treatment,41,54,9,77,0.8953488372093024
product_type_name,Pyjama set,section_name,"Womens Nightwear, Socks & Tigh",74,476,52,446,0.8955823293172691
product_type_name,Cap/peaked,section_name,Men Accessories,16,80,9,78,0.896551724137931
product_type_name,Trousers,colour_group_name,Dark Blue,1789,805,242,2110,0.8971088435374149
department_name,Heavy Basic Jersey,product_type_name,Hoodie,83,282,34,297,0.8972809667673716
department_name,Tops Fancy Jersey,graphical_appearance_name,Placement print,209,200,38,333,0.8975741239892183
department_name,Ladies Sport Acc,section_name,Ladies H&M Sport,37,362,37,325,0.8977900552486188
department_name,Socks,graphical_appearance_name,Glittering/Metallic,97,76,16,141,0.8980891719745223
product_type_name,T-shirt,section_name,Divided Basics,786,438,113,998,0.8982898289828983
department_name,Basic 1,product_type_name,T-shirt,399,786,109,967,0.8986988847583643
product_type_name,Other accessories,section_name,Womens Small accessories,95,702,73,651,0.899171270718232
product_type_name,Bikini top,graphical_appearance_name,Other structure,234,312,50,446,0.8991935483870968
section_name,Divided Collection,colour_group_name,Black,1421,3826,477,4293,0.9
department_name,Accessories,product_type_name,Beanie,28,16,4,36,0.9
department_name,Young Boy Big Acc,product_type_name,Gloves,2,20,2,18,0.9
department_name,Kids Boy Outdoor,section_name,Kids Outerwear,2,20,2,18,0.9
department_name,Young Boy Big Acc,section_name,Kids Outerwear,2,20,2,18,0.9
product_type_name,Dress,graphical_appearance_name,Solid,1604,7935,863,7813,0.9005301982480406
department_name,Blouse,colour_group_name,White,591,1311,172,1558,0.900578034682081
department_name,Blouse,section_name,Womens Casual,591,540,102,927,0.9008746355685131
department_name,Young Boy Trouser,section_name,Young Boy,9,91,9,82,0.9010989010989011
department_name,Jersey License,section_name,Contemporary Street,14,142,14,128,0.9014084507042254
product_type_name,Blouse,colour_group_name,White,619,1311,173,1584,0.9015367103016505
department_name,Jewellery Extended,section_name,Womens Small accessories,69,702,69,633,0.9017094017094017
department_name,Trouser,section_name,Womens Tailoring,609,866,131,1213,0.9025297619047619
section_name,Divided Collection,graphical_appearance_name,Solid,1421,7935,829,7698,0.9027794065908291
product_type_name,Belt,section_name,Men Accessories,112,80,17,158,0.9028571428571428
department_name,Jersey Fancy,product_type_name,T-shirt,202,786,87,814,0.9034406215316315
department_name,Blazer S&T,product_type_name,Blazer,22,194,19,178,0.9035532994923858
