prototype,name,n_descriptors,descriptors
0,"Jacquard, Denim Trousers, Jersey Basic",3,graphical_appearance_name=Jacquard(score=19.501); department_name=Denim Trousers(score=5.834); department_name=Jersey Basic(score=5.610)
37,"Jacquard, Jersey fancy, Denim Trousers",3,graphical_appearance_name=Jacquard(score=19.501); department_name=Jersey fancy(score=6.058); department_name=Denim Trousers(score=5.834)
38,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=10.421); department_name=Knitwear(score=10.112); department_name=Dress(score=9.751)
39,"Suit, Turquoise, Dressed",3,department_name=Suit(score=60.479); colour_group_name=Turquoise(score=52.504); garment_group_name=Dressed(score=26.692)
40,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=11.144); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
41,"Suit, Turquoise, Dressed",3,department_name=Suit(score=60.479); colour_group_name=Turquoise(score=52.504); garment_group_name=Dressed(score=26.692)
42,"Campaigns, Special Offers, Loungewear",3,department_name=Campaigns(score=42.659); garment_group_name=Special Offers(score=28.440); department_name=Loungewear(score=10.421)
43,"Suit, Turquoise, Dressed",3,department_name=Suit(score=60.479); colour_group_name=Turquoise(score=35.003); garment_group_name=Dressed(score=26.692)
44,"Socks Wall, Denim trousers, Denim Men",3,department_name=Socks Wall(score=50.937); department_name=Denim trousers(score=37.572); section_name=Denim Men(score=35.003)
45,"Dress, Loungewear, Knitwear",3,department_name=Dress(score=12.537); department_name=Loungewear(score=10.421); department_name=Knitwear(score=7.584)
46,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=10.421); department_name=Knitwear(score=10.112); department_name=Dress(score=9.751)
47,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=10.421); department_name=Knitwear(score=10.112); department_name=Dress(score=9.751)
48,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=46.842); section_name=Ladies H&M Sport(score=30.168); index_group_name=Sport(score=24.161)
49,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
50,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
51,"Jacquard, Light Blue, Denim Trousers",3,graphical_appearance_name=Jacquard(score=19.501); colour_group_name=Light Blue(score=7.419); department_name=Denim Trousers(score=5.834)
52,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=46.842); section_name=Ladies H&M Sport(score=30.168); index_group_name=Sport(score=24.161)
53,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=46.842); section_name=Ladies H&M Sport(score=30.168); index_group_name=Sport(score=24.161)
54,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
55,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=50.188); section_name=Ladies H&M Sport(score=32.053); index_group_name=Sport(score=25.671)
56,"Jumpsuit/Playsuit, Dark Pink, Shorts",3,product_type_name=Jumpsuit/Playsuit(score=16.853); colour_group_name=Dark Pink(score=12.640); garment_group_name=Shorts(score=10.665)
57,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=50.188); section_name=Ladies H&M Sport(score=32.053); index_group_name=Sport(score=25.671)
58,"Loungewear, Nightwear, Knitwear",3,department_name=Loungewear(score=10.421); product_group_name=Nightwear(score=10.342); department_name=Knitwear(score=8.848)
59,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
60,"Socks Wall, Denim trousers, Denim Men",3,department_name=Socks Wall(score=50.937); department_name=Denim trousers(score=37.572); section_name=Denim Men(score=35.003)
61,"Knitwear, Loungewear, Dress",3,department_name=Knitwear(score=11.376); department_name=Loungewear(score=10.421); department_name=Dress(score=8.358)
62,"Dark Pink, Shorts, Shorts",3,colour_group_name=Dark Pink(score=12.640); garment_group_name=Shorts(score=10.665); department_name=Shorts(score=9.964)
63,"Loungewear, Dress, Knitwear",3,department_name=Loungewear(score=10.421); department_name=Dress(score=9.751); department_name=Knitwear(score=8.848)
64,"Loungewear, Knitwear, Cardigan",3,department_name=Loungewear(score=20.841); department_name=Knitwear(score=10.112); product_type_name=Cardigan(score=7.110)
65,"Trousers, Embroidery, Basic 1",3,department_name=Trousers(score=24.268); graphical_appearance_name=Embroidery(score=16.547); department_name=Basic 1(score=10.264)
66,"Jacquard, Jersey fancy, Denim Trousers",3,graphical_appearance_name=Jacquard(score=19.501); department_name=Jersey fancy(score=6.058); department_name=Denim Trousers(score=5.834)
67,"Loungewear, Knitwear, Dress",3,department_name=Loungewear(score=10.421); department_name=Knitwear(score=8.848); department_name=Dress(score=6.965)
68,"Socks Wall, Denim trousers, Denim Men",3,department_name=Socks Wall(score=50.937); department_name=Denim trousers(score=37.572); section_name=Denim Men(score=35.003)
69,"Socks Wall, Denim trousers, Denim Men",3,department_name=Socks Wall(score=50.937); department_name=Denim trousers(score=37.572); section_name=Denim Men(score=35.003)
70,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
71,"Suit, Turquoise, Dressed",3,department_name=Suit(score=60.479); colour_group_name=Turquoise(score=35.003); garment_group_name=Dressed(score=26.692)
72,"Campaigns, Special Offers, Dress",3,department_name=Campaigns(score=63.989); garment_group_name=Special Offers(score=42.659); department_name=Dress(score=11.144)
73,"Jacquard, Jersey Basic, Womens Everyday Basics",3,graphical_appearance_name=Jacquard(score=19.501); department_name=Jersey Basic(score=7.480); section_name=Womens Everyday Basics(score=7.359)
74,"Mama, Woven bottoms, Jersey",3,section_name=Mama(score=40.781); department_name=Woven bottoms(score=31.025); department_name=Jersey(score=9.046)
75,"Ladies Sport Bras, Ladies H&M Sport, Sport",3,department_name=Ladies Sport Bras(score=50.188); section_name=Ladies H&M Sport(score=32.053); index_group_name=Sport(score=25.671)
